Species,N,Order,Family,BM,AGILITY,AGILITY2,ASCR,PSCR,LSCR,SCR,ASCR MAMMAL PREDICTION,PSCR MAMMAL PREDICTION,LSCR MAMMAL PREDICTION,SCR MAMMAL PREDICTION,ASCR PRIMATE PREDICTION,PSCR PRIMATE PREDICTION,LSCR PRIMATE PREDICTION,SCR PRIMATE PREDICTION,,prosthion-inion
Cacajao melanocephalus,2,Primates,Cebidae,2710,m,4,2.5,2.2,2,2.2,4,3.9,4.2,4.3,3.9,3.9,3.9,4,,
Callicebus moloch ,4,Primates,Cebidae,1020,m,4,2,2,1.7,1.9,4,4.3,4.5,4.5,4,4.6,4.3,4.3,,59.7
Callicebus torquatus,3,Primates,Cebidae,1245,m,4,2.3,2.1,1.9,2.1,4.2,4.2,4.7,4.7,4.3,4.5,4.6,4.6,,59.7
Callimico goeldi,1,Primates,Callitrichidae,533,mf,5,1.8,1.7,1.3,1.6,4.1,4.3,4,4.3,4.2,4.5,3.5,4,,
Callithrix jacchus,1,Primates,Callitrichidae,324,f,6,1.5,1.6,1.5,1.5,4,4.3,4.7,4.5,4.2,4.7,4.5,4.3,,43.7
Cebus apella ,4,Primates,Cebidae,3085,m,4,2.4,2.2,1.9,2.2,3.9,3.9,4,4.1,3.6,3.9,3.6,3.8,,94.5
Cercocebus torquatus,1,Primates,Cercopithecidae,6200,f,6,2.6,2.4,2.4,2.5,3.6,3.7,4.4,4.1,3.2,3.5,4.3,3.7,,
Cercopithecus cephus,1,Primates,Cercopithecidae,4290,m,4,2.3,2.2,2.2,2.2,3.5,3.7,4.4,4,3.1,3.5,4.2,3.5,,96.3
Cercopithecus diana,1,Primates,Cercopithecidae,5200,f,6,2.4,2.3,2.4,2.4,3.6,3.7,4.5,4.1,3.2,3.4,4.5,3.7,,
Cercopithecus mitis,1,Primates,Cercopithecidae,7930,m,4,2.7,2.3,2.5,2.5,3.6,3.5,4.4,4,3.2,3.1,4.3,3.6,,
Cercopithecus mona,1,Primates,Cercopithecidae,5100,m,4,2.3,2.3,2.3,2.3,3.5,3.7,4.4,4,3.1,3.5,4.3,3.5,,
Cercopithecus nictitans,2,Primates,Cercopithecidae,5465,m,4,2.4,2.3,2.5,2.4,3.5,3.7,4.6,4.1,3.1,3.5,4.6,3.6,,
Cheirogaleus major,1,Primates,Cheirogaleidae,400,m,4,1.6,1.4,1.4,1.5,4,4,4.4,4.2,4.2,4,4,3.9,,55
Cheirogaleus medius,2,Primates,Cheirogaleidae,261,m,4,1.4,1.2,1.2,1.3,3.9,3.7,4.2,4,4.2,3.4,3.7,3.5,,
Chlorocebus aethiops,1,Primates,Cercopithecidae,4099,m,4,2.4,2.4,2.3,2.3,3.7,3.9,4.5,4.2,3.3,3.9,4.4,3.9,,96.7
Colobus guereza,3,Primates,Cercopithecidae,9774,mf,5,2.8,2.6,2.5,2.6,3.6,3.6,4.1,4,3.1,3.4,3.9,3.5,,
Colobus polykomos,2,Primates,Cercopithecidae,9100,m,4,3.2,2.9,2.6,2.9,4,4,4.3,4.4,3.6,4.1,4.2,4.2,,117.2
Daubentonia madagascariensis,1,Primates,Daubentoniidae,2555,f,6,2.9,2.4,2,2.4,4.5,4.2,4.3,4.8,4.5,4.5,4.1,4.7,,87
Erythrocebus patas,2,Primates,Cercopithecidae,9450,f,6,2.5,2.4,2.6,2.5,3.4,3.5,4.3,3.8,2.9,3.1,4.2,3.3,,135.8
Eulemur fulvus_ssp,3,Primates,Lemuridae,2146,m,4,2.5,2.2,2,2.2,4.2,4.1,4.5,4.5,4.1,4.3,4.3,4.4,,90.3
Eulemur macaco,1,Primates,Lemuridae,2389,m,4,2.4,2.4,2,2.3,4,4.2,4.4,4.5,3.9,4.4,4.3,4.3,,
Eulemur mongoz,1,Primates,Lemuridae,1606,m,4,2.4,2.5,2,2.3,4.2,4.6,4.8,4.9,4.2,5.2,4.8,4.9,,
Galago elegantulus,2,Primates,Galagonidae,289,f,6,1.6,1.6,1.7,1.6,4.2,4.4,5.4,4.9,4.5,4.8,5.6,4.9,,47.7
Galago moholi,2,Primates,Galagonidae,187,f,6,1.6,1.5,1.5,1.5,4.4,4.5,5.3,4.9,4.9,5.1,5.3,5,,37.9
Galago senegalensis,2,Primates,Galagonidae,220,f,6,1.6,1.7,1.6,1.6,4.4,4.8,5.4,5.2,4.9,5.7,5.6,5.4,,39.7
Galagoides alleni,2,Primates,Galagonidae,277,f,6,1.8,1.6,1.6,1.6,4.5,4.5,5.2,5,5,5,5.3,5.1,,48.9
Galagoides demidoff,2,Primates,Galagonidae,61.5,m,4,1.3,1.2,1.2,1.3,4.5,4.7,5.5,5.1,5.4,5.6,5.5,5.3,,35.1
Gorilla gorilla,6,Primates,Hominidae,120950,s,2,2.9,3.1,3.1,3,2.5,2.8,3.3,2.8,1.7,2.1,2.8,2,,
Hapalemur griseus,1,Primates,Lemuridae,1091,m,4,2.2,1.9,1.9,2,4.3,4.1,4.7,4.6,4.4,4.3,4.7,4.5,,65.5
Hapalemur simus,2,Primates,Lemuridae,1725,f,6,2.7,2.3,2.1,2.4,4.5,4.4,4.9,5,4.6,4.8,5,5.1,,81.9
Homo sapiens,54,Primates,Hominidae,58313,m,4,3.3,3.2,2.2,2.9,3.1,3.2,2.8,3.1,2.3,2.6,2.1,2.4,,186
Hylobates hoolock,1,Primates,Hylobatidae,6880,f,6,2.8,2.5,2.4,2.6,3.8,3.7,4.3,4.2,3.4,3.5,4.2,3.8,,
Hylobates klossii,1,Primates,Hylobatidae,5670,f,6,2.6,2.4,2.5,2.5,3.7,3.8,4.5,4.2,3.3,3.6,4.5,3.9,,
Hylobates lar,1,Primates,Hylobatidae,5620,f,6,2.8,2.5,2.4,2.6,3.9,3.9,4.5,4.4,3.6,3.8,4.4,4.1,,
Hylobates moloch,1,Primates,Hylobatidae,6580,f,6,2.7,2.5,2.5,2.6,3.7,3.7,4.5,4.2,3.4,3.6,4.5,3.9,,
Hylobates pileatus,1,Primates,Hylobatidae,5440,f,6,2.7,2.6,2.5,2.6,3.8,4,4.7,4.4,3.4,4,4.8,4.1,,
Hylobates syndactylus,2,Primates,Hylobatidae,11300,m,4,3,2.8,2.6,2.8,3.7,3.7,4.2,4.1,3.2,3.6,4.1,3.7,,
Indri indri,2,Primates,Indridae,6335,f,6,3,2.6,2.4,2.7,4.1,3.9,4.4,4.4,3.8,3.8,4.3,4.2,,103.3
Lagothrix lagotricha,3,Primates,Cebidae,7367,ms,3,3,2.4,2,2.5,4,3.6,3.6,4,3.6,3.3,3.1,3.5,,
Lemur catta,2,Primates,Lemuridae,2210,m,4,2.3,2,1.9,2.1,3.9,3.8,4.3,4.2,3.8,3.7,4,3.9,,83.2
Leontopithecus rosalia,2,Primates,Callitrichidae,620,f,6,1.4,1.7,1.4,1.5,3.4,4.1,4.1,3.9,3.3,4.2,3.6,3.5,,
Lepilemur sp,1,Primates,Lepilemuridae,764,f,6,1.9,1.7,1.7,1.8,4.1,4,4.7,4.5,4.2,4.1,4.5,4.2,,57.1
Lophocebus albigena,1,Primates,Cercopithecidae,8250,mf,5,2.9,2.9,2.7,2.8,3.8,4.1,4.6,4.4,3.3,4.1,4.7,4.2,,121.5
Loris tardigradus,3,Primates,Loridae,220,s,2,1.4,1.2,1,1.2,4,3.9,3.7,3.9,4.3,3.8,2.9,3.5,,47.2
Macaca cyclopis,1,Primates,Cercopithecidae,5470,m,4,2.5,2.5,2.3,2.4,3.6,3.8,4.4,4.1,3.2,3.7,4.3,3.7,,
Macaca fascicularis,3,Primates,Cercopithecidae,4475,m,4,2.4,2.3,2.2,2.3,3.6,3.7,4.3,4.1,3.3,3.6,4.1,3.6,,110.8
Macaca fuscata,1,Primates,Cercopithecidae,9515,m,4,2.6,2.7,2.3,2.5,3.5,3.7,3.9,3.9,2.9,3.5,3.5,3.4,,
